,sentiment,content
3884,anger,@mikeavila ack! I just read about your show  that's horrible!!! No accounting for taste.
11690,anger,@kristanmarie at least you dont have quad parking haha two cars drove by real fast and spashed mud all over me
17015,anger,at famous dave's with my mom. so hungry.
7696,anger,@BigCatJared   What did I do to you!  sheesh
6474,anger,Shout out to my moms for wakin me up so prematurely! Preciate it
13434,anger,@FafsaHelp i don't know what lender it was? yea these people definitely sucked butt toes. NOT friendly or helpful.
6496,anger,Stupid red hair is too difficult on the upkeep. Re-dyed it a more manageable brown-red. Boo
7978,anger,Internet is painfully slow today
3336,anger,@drakesizzle  If you don't want to come then don't come. JEEEEEZ.
29902,anger,@rockchick0125 yup!  Now I can join in on the nin access fun!
6969,anger,"@wmdev Every time I succeed with a code, I get &quot;We're Sorry. Your Credit Card Has Been Declined at this time.&quot;"
20720,anger,@eminem http://twitpic.com/4j585 - Guess I need to get me an iPhone now for sure!!!  It looks bad ass!!
7195,anger,@jamie_oliver  I was off by one year. I really wanted some of Jamies cooking books in ENGLISH!!!! not German.
8479,anger,@anz_rocks19  i have to break the twitterparty... im off home soon
17236,anger,I am beginning to think sun blcok is a haox.
25040,anger,"@olafsearson Lol - I could try!  Seriously tho, dont do all of it! That sucks! xx"
14835,anger,"And you could have it all, my empire of dirt! I'm in a&amp;e with dad I'm freezing fully shivering Every1 else is warm  no fones allowed ffs!"
8043,anger,@cindaxo the straightener's another 110 pounds though. Seems pricey
18512,anger,"@PENLDN just got in, gonna go upto bed in a sec, not drunk! I'm disgusted with myself  haha"
10731,anger,bout to go to work with a wicked sunburn on the chest.
23816,anger,@stevebiddle I used to be - but that was a while ago now - your argument is pretty sound for a trolley pusher
13735,anger,My throat is on fire
24865,anger,"wakey wakey lemon shakeyyyy!  haha, goin' 2 schooliooo!  it's raining!! (ugh!) guess where I WISH I CAN BE RIGHT NOW....CaLiFoRNiA! ???"
4377,anger,Confuzzled
17472,anger,Just found out my parents are putting down my dog tomorrow morning. Upset
22160,anger,@paulmoxham everything is your fault moxy...everything.   x
6240,anger,aaaaaaaaaaa McFly
13036,anger,"Big Laptop is too big, so it's time to switch to the Eee.  Bye big guy"
13556,anger,Wish my headache/almost migraine would go away!
3908,anger,"@Greenwichlad Oh let me clarify,know lots of nice people who live there, but thought it always was a breeding ground 4 BNP"
14077,anger,sam and sean are teasing me saying they are gonna get wings without me
3716,anger,stuck in stupid Jeuno with flag up.  Wish I was in Windy fishing
